tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,33,43,1,979.21,2010-01-01T00:00:00Z,FALSE,-1
2,16,83,1,302.33,2010-01-01T00:00:00Z,FALSE,-1
3,50,62,2,234.08,2010-01-01T00:00:00Z,TRUE,0
4,28,35,3,789.99,2010-01-01T00:00:00Z,FALSE,-1
5,97,93,3,394.91,2010-01-01T00:00:00Z,FALSE,-1
6,79,95,1,201.63,2010-01-01T00:00:00Z,TRUE,2
7,80,77,4,539.36,2010-01-01T00:00:00Z,FALSE,-1
8,29,28,1,214.61,2010-01-01T00:00:00Z,TRUE,1
9,9,23,1,577.16,2010-01-01T00:00:00Z,FALSE,-1
10,10,41,3,293.9,2010-01-01T00:00:00Z,FALSE,-1
11,69,17,2,981.33,2010-01-01T00:00:00Z,FALSE,-1
12,22,62,1,531.2,2010-01-01T00:00:00Z,FALSE,-1
13,98,81,3,395.89,2010-01-01T00:00:00Z,FALSE,-1
14,87,72,1,262.5,2010-01-02T00:00:00Z,FALSE,-1
15,62,5,1,419.39,2010-01-02T00:00:00Z,FALSE,-1
16,16,44,3,888.27,2010-01-02T00:00:00Z,FALSE,-1
17,53,32,1,749.87,2010-01-02T00:00:00Z,FALSE,-1
18,29,39,1,317.02,2010-01-02T00:00:00Z,FALSE,-1
19,99,98,3,539.77,2010-01-02T00:00:00Z,FALSE,-1
20,19,97,3,933.07,2010-01-02T00:00:00Z,FALSE,-1
21,18,91,1,336.94,2010-01-02T00:00:00Z,FALSE,-1
22,91,95,3,717.07,2010-01-02T00:00:00Z,FALSE,-1
23,12,57,3,229.34,2010-01-02T00:00:00Z,FALSE,-1
24,13,95,3,998.31,2010-01-02T00:00:00Z,FALSE,-1
25,0,27,3,605.07,2010-01-02T00:00:00Z,FALSE,-1
26,92,39,1,692.79,2010-01-02T00:00:00Z,FALSE,-1
27,90,7,3,955.42,2010-01-02T00:00:00Z,FALSE,-1
28,49,31,1,821.21,2010-01-02T00:00:00Z,FALSE,-1
29,11,26,3,113.19,2010-01-02T00:00:00Z,FALSE,-1
30,77,65,2,833.39,2010-01-03T00:00:00Z,FALSE,-1
31,94,49,2,893.8,2010-01-03T00:00:00Z,FALSE,-1
32,4,24,3,732.17,2010-01-03T00:00:00Z,FALSE,-1
33,20,92,1,649.31,2010-01-03T00:00:00Z,FALSE,-1
34,17,70,1,503.41,2010-01-03T00:00:00Z,FALSE,-1
35,56,20,3,700.96,2010-01-03T00:00:00Z,FALSE,-1
36,9,38,3,206.76,2010-01-03T00:00:00Z,FALSE,-1
37,89,86,3,793.74,2010-01-03T00:00:00Z,FALSE,-1
38,55,0,1,596.51,2010-01-03T00:00:00Z,FALSE,-1
39,6,25,4,532.89,2010-01-03T00:00:00Z,FALSE,-1
40,3,47,1,969.14,2010-01-03T00:00:00Z,FALSE,-1
41,10,41,3,960.27,2010-01-03T00:00:00Z,FALSE,-1
42,3,47,1,720.02,2010-01-03T00:00:00Z,FALSE,-1
43,59,7,2,492.92,2010-01-04T00:00:00Z,FALSE,-1
44,79,17,3,287.95,2010-01-04T00:00:00Z,FALSE,-1
45,13,34,1,451.15,2010-01-04T00:00:00Z,FALSE,-1
46,83,94,3,368.18,2010-01-04T00:00:00Z,FALSE,-1
47,71,29,1,910.92,2010-01-04T00:00:00Z,FALSE,-1
48,76,44,3,958.79,2010-01-04T00:00:00Z,FALSE,-1
49,8,61,1,682.34,2010-01-05T00:00:00Z,FALSE,-1
50,73,3,2,926.8,2010-01-05T00:00:00Z,FALSE,-1
51,63,33,2,178.31,2010-01-05T00:00:00Z,FALSE,-1
52,74,11,1,656.31,2010-01-05T00:00:00Z,FALSE,-1
53,5,33,2,984.43,2010-01-05T00:00:00Z,FALSE,-1
54,2,58,3,634.77,2010-01-05T00:00:00Z,FALSE,-1
55,52,35,1,824.73,2010-01-05T00:00:00Z,FALSE,-1
56,11,74,2,237.16,2010-01-05T00:00:00Z,FALSE,-1
57,15,64,1,145.34,2010-01-05T00:00:00Z,FALSE,-1
58,17,42,1,135.92,2010-01-05T00:00:00Z,FALSE,-1
59,1,49,3,444.57,2010-01-05T00:00:00Z,FALSE,-1
60,86,93,1,976.68,2010-01-05T00:00:00Z,FALSE,-1
61,6,30,1,400.86,2010-01-05T00:00:00Z,FALSE,-1
62,23,37,1,213.44,2010-01-05T00:00:00Z,FALSE,-1
